"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope"
45.00,0.00,0.02,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.25,0.00,14.35,19.50,19.14
46.00,0.00,0.01,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.00,15.01,19.50,19.15
47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.41,19.50,19.17
48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.74,19.62,19.19
49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.99,19.69,19.24
50.00,0.00,0.01,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.00,15.81,19.63,19.29
51.00,0.00,0.01,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.17,0.00,15.34,19.50,19.32
52.00,0.00,0.03,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.32,0.00,14.86,19.50,19.30
53.00,0.00,0.03,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.40,0.00,14.56,19.50,19.29
54.00,0.00,0.04,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.46,0.00,14.34,19.50,19.27
55.00,0.00,0.04,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.52,0.00,14.19,19.50,19.26
56.00,0.00,0.05,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.56,0.00,14.02,19.50,19.24
57.00,0.00,0.05,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.61,0.00,13.93,19.50,19.23
58.00,0.00,0.05,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.65,0.00,13.79,19.50,19.22
59.00,0.00,0.06,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.69,0.00,13.38,19.50,19.21
60.00,0.00,0.06,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.76,0.00,12.73,19.50,19.19
61.00,0.00,0.07,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.84,0.00,11.98,19.50,19.17
62.00,0.00,0.08,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.94,0.00,11.35,19.50,19.15
63.00,0.00,0.08,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.04,0.00,10.83,19.50,19.12
64.00,0.00,0.09,1.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.14,0.00,10.40,19.50,19.09
65.00,0.00,0.10,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,1.23,0.00,10.06,19.50,19.07
66.00,0.00,0.11,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,1.31,0.00,9.90,19.50,19.04
67.00,0.00,0.09,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.10,0.00,10.73,19.50,19.02
68.00,0.00,0.05,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.58,0.00,12.34,19.50,19.01
69.00,0.00,0.01,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.00,13.24,19.50,19.03
70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,19.50,19.06
71.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.64,19.68,19.08
