"source","total_heat_supply_per_source","total_heat_drain_per_source","total_heating_cost_per_source","n_heating_units","pay_rate","usage_cost"
"electricity",0.00,0.00,0.00,0.00,96.75,0.15
"mining",449856.64,0.00,68828.07,18.00,1935.82,29956.36
"airconditioning",0.00,437977.85,22336.87,20.00,104.93,1417.29
"gas",0.00,0.00,0.00,0.00,768.56,0.04
"photovoltaics",0.00,0.00,0.00,0.00,20.79,0.00
