"source","total_heat_supply_per_source","total_heat_drain_per_source","total_heating_cost_per_source","n_heating_units","pay_rate","usage_cost"
"electricity",0.00,0.00,0.00,0.00,96.75,0.25
"mining",32620.43,0.00,8155.11,2.00,1935.82,2172.46
"airconditioning",37.56,10723.23,896.73,3.00,104.93,34.90
"gas",0.00,0.00,0.00,0.00,768.56,0.08
"photovoltaics",0.00,0.00,0.00,60.00,20.79,0.00
