"source","total_heat_supply_per_source","total_heat_drain_per_source","total_heating_cost_per_source","n_heating_units","pay_rate","usage_cost"
"electricity",0.00,0.00,0.00,0.00,96.75,0.36
"mining",26115.85,0.00,9401.71,1.00,1935.82,1739.43
"airconditioning",972.43,15823.96,2015.57,2.00,104.93,54.47
"gas",0.00,0.00,0.00,0.00,768.56,0.08
"photovoltaics",0.00,0.00,0.00,0.00,20.79,0.00
