"source","total_heat_supply_per_source","total_heat_drain_per_source","total_heating_cost_per_source","n_heating_units","pay_rate","usage_cost"
"electricity",0.00,0.00,0.00,0.00,96.75,0.36
"mining",25737.74,0.00,9265.59,1.00,1935.82,1714.25
"airconditioning",972.43,15376.47,1961.87,2.00,104.93,53.02
"gas",0.00,0.00,0.00,0.00,768.56,0.08
"photovoltaics",0.00,0.00,0.00,0.00,20.79,0.00
