"source","total_heat_supply_per_source","total_heat_drain_per_source","total_heating_cost_per_source","n_heating_units","pay_rate","usage_cost"
"electricity",0.00,0.00,0.00,0.00,96.75,0.15
"mining",422151.98,0.00,63322.80,17.00,1935.82,28111.49
"airconditioning",0.00,438000.00,21900.00,20.00,104.93,1417.36
"gas",0.00,0.00,0.00,0.00,768.56,0.11
"photovoltaics",0.00,0.00,0.00,0.00,20.79,0.00
