"source","total_heat_supply_per_source","total_heat_drain_per_source","total_heating_cost_per_source","n_heating_units","pay_rate","usage_cost"
"electricity",0.00,0.00,0.00,0.00,96.75,0.15
"mining",453474.10,0.00,69381.54,18.00,1935.82,30197.25
"airconditioning",0.00,431394.14,22001.10,20.00,104.93,1395.98
"gas",0.00,0.00,0.00,0.00,768.56,0.04
"photovoltaics",0.00,0.00,0.00,0.00,20.79,0.00
