"source","total_heat_supply_per_source","total_heat_drain_per_source","total_heating_cost_per_source","n_heating_units","pay_rate","usage_cost"
"electricity",0.00,0.00,0.00,0.00,96.75,0.15
"mining",434397.07,0.00,66462.75,17.00,1935.82,28926.90
"airconditioning",0.00,437209.33,22297.68,20.00,104.93,1414.80
"gas",0.00,0.00,0.00,0.00,768.56,0.04
"photovoltaics",0.00,0.00,0.00,0.00,20.79,0.00
