"source","total_heat_supply_per_source","total_heat_drain_per_source","total_heating_cost_per_source","n_heating_units","pay_rate","usage_cost"
"electricity",0.00,0.00,0.00,0.00,96.75,0.36
"mining",12798.14,0.00,4607.33,1.00,1935.82,852.60
"airconditioning",972.42,2544.64,422.05,2.00,104.93,11.50
"gas",0.00,0.00,0.00,0.00,768.56,0.08
"photovoltaics",0.00,0.00,0.00,0.00,20.79,0.00
