"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope"
44.00,1.00,0.89,4.79,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.14,1.79,0.00,-5.57,19.50,18.08
45.00,1.00,0.89,4.81,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.14,1.81,0.00,-5.62,19.50,18.07
46.00,1.00,0.90,4.82,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.15,1.82,0.00,-5.60,19.50,18.07
47.00,1.00,0.90,4.83,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.15,1.83,0.00,-5.60,19.50,18.06
48.00,1.00,0.90,4.84,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.15,1.84,0.00,-5.70,19.50,18.06
49.00,1.00,0.90,4.86,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.15,1.86,0.00,-5.89,19.50,18.06
50.00,1.00,0.90,4.88,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.15,1.88,0.00,-6.08,19.50,18.05
51.00,1.00,0.90,4.91,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.15,1.91,0.00,-6.27,19.50,18.05
52.00,1.00,0.91,4.94,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.16,1.94,0.00,-6.57,19.50,18.04
53.00,1.00,0.91,4.98,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.16,1.98,0.00,-6.85,19.50,18.03
54.00,1.00,0.91,4.94,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.16,1.94,0.00,-6.91,19.50,18.02
55.00,1.00,0.89,4.78,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.14,1.78,0.00,-6.53,19.50,18.01
56.00,1.00,0.88,4.58,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.13,1.58,0.00,-6.14,19.50,18.01
57.00,1.00,0.87,4.44,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.12,1.44,0.00,-5.68,19.50,18.01
58.00,1.00,0.86,4.41,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.11,1.41,0.00,-5.13,19.50,18.02
59.00,1.00,0.86,4.40,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.11,1.40,0.00,-4.69,19.50,18.03
60.00,1.00,0.87,4.52,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.12,1.52,0.00,-4.54,19.50,18.05
61.00,1.00,0.89,4.70,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.14,1.70,0.00,-4.77,19.50,18.06
62.00,1.00,0.89,4.79,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.14,1.79,0.00,-5.15,19.50,18.07
63.00,1.00,0.89,4.79,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.14,1.79,0.00,-5.27,19.50,18.07
64.00,1.00,0.89,4.79,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.14,1.79,0.00,-5.31,19.50,18.07
65.00,1.00,0.89,4.79,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.14,1.79,0.00,-5.30,19.50,18.07
66.00,1.00,0.89,4.80,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.14,1.80,0.00,-5.29,19.50,18.07
67.00,1.00,0.89,4.80,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.14,1.80,0.00,-5.42,19.50,18.07
