"source","total_heat_supply_per_source","total_heat_drain_per_source","total_heating_cost_per_source","n_heating_units","pay_rate","usage_cost"
"electricity",0.00,0.00,0.00,0.00,96.75,0.06
"mining",458304.04,0.00,25665.03,18.00,1935.82,30518.78
"airconditioning",0.00,438000.00,8176.00,20.00,104.93,1417.33
"gas",0.00,0.00,0.00,0.00,768.56,0.01
"photovoltaics",0.00,0.00,0.00,0.00,20.79,0.00
