"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope"
45.00,0.00,0.08,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.94,19.46,20.50,20.69
46.00,0.00,0.06,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.74,18.58,20.50,20.63
47.00,0.00,0.04,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.54,17.75,20.50,20.58
48.00,0.00,0.03,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.35,16.93,20.50,20.52
49.00,0.00,0.01,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.17,16.18,20.50,20.47
50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.53,20.50,20.42
51.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.96,20.50,20.37
52.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.44,20.40,20.33
53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.25,20.39,20.27
54.00,0.00,0.02,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.26,16.02,20.35,20.22
55.00,0.00,0.06,0.00,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.72,18.85,20.50,20.19
56.00,0.00,0.12,0.00,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,1.51,21.67,20.50,20.24
57.00,0.00,0.18,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,2.20,24.28,20.50,20.31
58.00,0.00,0.22,0.00,2.74,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,2.74,26.52,20.50,20.40
59.00,0.00,0.25,0.00,3.07,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,3.07,28.31,20.50,20.50
60.00,0.00,0.25,0.00,3.17,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,3.17,29.48,20.50,20.61
61.00,0.00,0.24,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,3.03,29.98,20.50,20.70
62.00,0.00,0.21,0.00,2.66,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,2.66,29.63,20.50,20.78
63.00,0.00,0.17,0.00,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,2.13,28.26,20.50,20.83
64.00,0.00,0.13,0.00,1.66,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,1.66,24.48,20.50,20.86
65.00,0.00,0.12,0.00,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,1.52,23.48,20.50,20.83
66.00,0.00,0.11,0.00,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,1.39,22.81,20.50,20.79
67.00,0.00,0.10,0.00,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,1.24,21.83,20.50,20.76
68.00,0.00,0.09,0.00,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,1.08,20.73,20.50,20.72
69.00,0.00,0.07,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.90,19.74,20.50,20.67
70.00,0.00,0.06,0.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.73,18.94,20.50,20.62
71.00,0.00,0.04,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.56,18.28,20.50,20.57
72.00,0.00,0.03,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.40,17.69,20.50,20.53
73.00,0.00,0.02,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.25,17.12,20.50,20.49
74.00,0.00,0.01,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.10,16.58,20.50,20.44
75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.07,20.50,20.41
76.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.65,20.48,20.37
77.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.67,20.42,20.33
78.00,0.00,0.03,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.38,17.59,20.46,20.29
79.00,0.00,0.09,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,1.11,21.38,20.50,20.29
80.00,0.00,0.16,0.00,1.97,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,1.97,25.35,20.50,20.35
81.00,0.00,0.22,0.00,2.77,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,2.77,28.86,20.50,20.45
82.00,0.00,0.27,0.00,3.41,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,3.41,31.97,20.50,20.57
83.00,0.00,0.31,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,3.85,34.09,20.50,20.70
84.00,0.00,0.32,0.00,4.02,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,4.02,35.00,20.50,20.83
85.00,0.00,0.31,0.00,3.91,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,3.91,35.10,20.50,20.95
86.00,0.00,0.29,0.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,3.60,34.52,20.50,21.04
87.00,0.00,0.25,0.00,3.11,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,3.11,32.92,20.50,21.10
88.00,0.00,0.21,0.00,2.62,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,2.62,28.66,20.50,21.13
89.00,0.00,0.20,0.00,2.45,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,2.45,27.62,20.50,21.09
