"source","total_heat_supply_per_source","total_heat_drain_per_source","total_heating_cost_per_source","n_heating_units","pay_rate","usage_cost"
"electricity",0.00,0.00,0.00,0.00,96.75,0.20
"mining",26143.01,0.00,5228.60,1.00,1935.82,1741.08
"airconditioning",972.43,15867.55,1122.67,2.00,104.93,54.56
"gas",0.00,0.00,0.00,0.00,768.56,0.08
"photovoltaics",0.00,0.00,0.00,0.00,20.79,0.00
