"source","total_heat_supply_per_source","total_heat_drain_per_source","total_heating_cost_per_source","n_heating_units","pay_rate","usage_cost"
"electricity",0.00,0.00,0.00,0.00,96.75,0.13
"mining",429744.52,0.00,56726.28,17.00,1935.82,28617.06
"airconditioning",0.00,437809.03,19263.60,20.00,104.93,1416.73
"gas",0.00,0.00,0.00,0.00,768.56,0.16
"photovoltaics",0.00,0.00,0.00,0.00,20.79,0.00
