"source","total_heat_supply_per_source","total_heat_drain_per_source","total_heating_cost_per_source","n_heating_units","pay_rate","usage_cost"
"electricity",0.00,0.00,0.00,0.00,96.75,0.36
"mining",441221.83,0.00,158839.86,17.00,1935.82,29381.57
"airconditioning",0.00,429611.61,51553.39,20.00,104.93,1390.28
"gas",0.00,0.00,0.00,0.00,768.56,0.08
"photovoltaics",0.00,0.00,0.00,0.00,20.79,0.00
