"heat_source","hour","heat_supply","heat_drain"
"electricity",187.00,0.00,0.00
"electricity",188.00,0.00,0.00
"electricity",189.00,0.00,0.00
"electricity",190.00,0.00,0.00
"electricity",191.00,0.00,0.00
"electricity",192.00,0.00,0.00
"electricity",193.00,0.00,0.00
"electricity",194.00,0.00,0.00
"electricity",195.00,0.00,0.00
"electricity",196.00,0.00,0.00
"electricity",197.00,0.00,0.00
"electricity",198.00,0.00,0.00
"electricity",199.00,0.00,0.00
"electricity",200.00,0.00,0.00
"electricity",201.00,0.00,0.00
"electricity",202.00,0.00,0.00
"electricity",203.00,0.00,0.00
"electricity",204.00,0.00,0.00
"electricity",205.00,0.00,0.00
"electricity",206.00,0.00,0.00
"electricity",207.00,0.00,0.00
"electricity",208.00,0.00,0.00
"electricity",209.00,0.00,0.00
"electricity",210.00,0.00,0.00
"electricity",211.00,0.00,0.00
"electricity",212.00,0.00,0.00
"electricity",213.00,0.00,0.00
"electricity",214.00,0.00,0.00
"electricity",215.00,0.00,0.00
"electricity",216.00,0.00,0.00
"electricity",217.00,0.00,0.00
"electricity",218.00,0.00,0.00
"electricity",219.00,0.00,0.00
"electricity",220.00,0.00,0.00
"electricity",221.00,0.00,0.00
"electricity",222.00,0.00,0.00
"electricity",223.00,0.00,0.00
"electricity",224.00,0.00,0.00
"electricity",225.00,0.00,0.00
"electricity",226.00,0.00,0.00
"electricity",227.00,0.00,0.00
"electricity",228.00,0.00,0.00
"electricity",229.00,0.00,0.00
"electricity",230.00,0.00,0.00
"electricity",231.00,0.00,0.00
"electricity",232.00,0.00,0.00
"electricity",233.00,0.00,0.00
"electricity",234.00,0.00,0.00
"electricity",235.00,0.00,0.00
"electricity",236.00,0.00,0.00
"electricity",237.00,0.00,0.00
"electricity",238.00,0.00,0.00
"electricity",239.00,0.00,0.00
"electricity",240.00,0.00,0.00
"electricity",241.00,0.00,0.00
"electricity",242.00,0.00,0.00
"electricity",243.00,0.00,0.00
"electricity",244.00,0.00,0.00
"electricity",245.00,0.00,0.00
"electricity",246.00,0.00,0.00
"electricity",247.00,0.00,0.00
"electricity",248.00,0.00,0.00
"electricity",249.00,0.00,0.00
"electricity",250.00,0.00,0.00
"electricity",251.00,0.00,0.00
"electricity",252.00,0.00,0.00
"electricity",253.00,0.00,0.00
"electricity",254.00,0.00,0.00
"electricity",255.00,0.00,0.00
"electricity",256.00,0.00,0.00
"electricity",257.00,0.00,0.00
"electricity",258.00,0.00,0.00
"electricity",259.00,0.00,0.00
"electricity",260.00,0.00,0.00
"electricity",261.00,0.00,0.00
"electricity",262.00,0.00,0.00
"electricity",263.00,0.00,0.00
"electricity",264.00,0.00,0.00
"electricity",265.00,0.00,0.00
"electricity",266.00,0.00,0.00
