"source","total_heat_supply_per_source","total_heat_drain_per_source","total_heating_cost_per_source","n_heating_units","pay_rate","usage_cost"
"electricity",0.00,0.00,0.00,0.00,96.75,0.00
"mining",0.00,0.00,0.00,0.00,1935.82,0.00
"airconditioning",0.00,0.00,0.00,0.00,104.93,0.00
"gas",0.00,0.00,0.00,0.00,768.56,0.00
"photovoltaics",0.00,0.00,0.00,0.00,20.79,0.00
