"hour","heat_demand","mining_revenue","total_heating_cost_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour"
1.00,2.02,0.74,0.20,0.00,0.00,0.00,0.00,0.20,2.02
2.00,2.00,0.73,0.20,0.00,0.00,0.00,0.00,0.20,2.00
3.00,1.97,0.72,0.20,0.00,0.00,0.00,0.00,0.20,1.97
4.00,1.96,0.71,0.20,0.00,0.00,0.00,0.00,0.20,1.96
5.00,1.95,0.71,0.20,0.00,0.00,0.00,0.00,0.20,1.95
6.00,1.95,0.71,0.20,0.00,0.00,0.00,0.00,0.20,1.95
7.00,2.00,0.73,0.20,0.00,0.00,0.00,0.00,0.20,2.00
8.00,2.16,0.79,0.22,0.00,0.00,0.00,0.00,0.22,2.16
9.00,2.37,0.86,0.24,0.00,0.00,0.00,0.00,0.24,2.37
10.00,2.59,0.94,0.26,0.00,0.00,0.00,0.00,0.26,2.59
11.00,2.57,0.94,0.26,0.00,0.00,0.00,0.00,0.26,2.57
12.00,2.47,0.90,0.25,0.00,0.00,0.00,0.00,0.25,2.47
13.00,2.27,0.83,0.23,0.00,0.00,0.00,0.00,0.23,2.27
14.00,2.15,0.78,0.22,0.00,0.00,0.00,0.00,0.22,2.15
15.00,1.99,0.72,0.20,0.00,0.00,0.00,0.00,0.20,1.99
16.00,1.86,0.68,0.19,0.00,0.00,0.00,0.00,0.19,1.86
17.00,1.84,0.67,0.18,0.00,0.00,0.00,0.00,0.18,1.84
18.00,1.93,0.70,0.19,0.00,0.00,0.00,0.00,0.19,1.93
19.00,2.08,0.76,0.21,0.00,0.00,0.00,0.00,0.21,2.08
20.00,2.17,0.79,0.22,0.00,0.00,0.00,0.00,0.22,2.17
21.00,2.21,0.81,0.22,0.00,0.00,0.00,0.00,0.22,2.21
22.00,2.24,0.82,0.22,0.00,0.00,0.00,0.00,0.22,2.24
23.00,2.18,0.79,0.22,0.00,0.00,0.00,0.00,0.22,2.18
24.00,2.07,0.75,0.21,0.00,0.00,0.00,0.00,0.21,2.07
25.00,2.03,0.74,0.20,0.00,0.00,0.00,0.00,0.20,2.03
26.00,1.96,0.71,0.20,0.00,0.00,0.00,0.00,0.20,1.96
27.00,1.93,0.70,0.19,0.00,0.00,0.00,0.00,0.19,1.93
28.00,1.94,0.71,0.19,0.00,0.00,0.00,0.00,0.19,1.94
29.00,1.95,0.71,0.20,0.00,0.00,0.00,0.00,0.20,1.95
30.00,1.98,0.72,0.20,0.00,0.00,0.00,0.00,0.20,1.98
31.00,2.02,0.74,0.20,0.00,0.00,0.00,0.00,0.20,2.02
32.00,2.16,0.79,0.22,0.00,0.00,0.00,0.00,0.22,2.16
33.00,2.36,0.86,0.24,0.00,0.00,0.00,0.00,0.24,2.36
34.00,2.50,0.91,0.25,0.00,0.00,0.00,0.00,0.25,2.50
35.00,2.43,0.88,0.24,0.00,0.00,0.00,0.00,0.24,2.43
36.00,2.25,0.82,0.23,0.00,0.00,0.00,0.00,0.23,2.25
37.00,2.14,0.78,0.21,0.00,0.00,0.00,0.00,0.21,2.14
38.00,2.15,0.78,0.22,0.00,0.00,0.00,0.00,0.22,2.15
39.00,2.11,0.77,0.21,0.00,0.00,0.00,0.00,0.21,2.11
40.00,2.13,0.78,0.21,0.00,0.00,0.00,0.00,0.21,2.13
41.00,2.22,0.81,0.22,0.00,0.00,0.00,0.00,0.22,2.22
42.00,2.37,0.86,0.24,0.00,0.00,0.00,0.00,0.24,2.37
43.00,2.47,0.90,0.25,0.00,0.00,0.00,0.00,0.25,2.47
44.00,2.43,0.89,0.24,0.00,0.00,0.00,0.00,0.24,2.43
45.00,2.30,0.84,0.23,0.00,0.00,0.00,0.00,0.23,2.30
46.00,2.17,0.79,0.22,0.00,0.00,0.00,0.00,0.22,2.17
47.00,2.07,0.75,0.21,0.00,0.00,0.00,0.00,0.21,2.07
48.00,2.02,0.73,0.20,0.00,0.00,0.00,0.00,0.20,2.02
49.00,2.92,1.06,0.29,0.00,0.00,0.00,0.00,0.29,2.92
50.00,2.88,1.05,0.29,0.00,0.00,0.00,0.00,0.29,2.88
51.00,2.86,1.04,0.29,0.00,0.00,0.00,0.00,0.29,2.86
52.00,2.85,1.04,0.28,0.00,0.00,0.00,0.00,0.28,2.85
53.00,2.84,1.03,0.28,0.00,0.00,0.00,0.00,0.28,2.84
54.00,2.84,1.03,0.28,0.00,0.00,0.00,0.00,0.28,2.84
55.00,2.90,1.06,0.29,0.00,0.00,0.00,0.00,0.29,2.90
56.00,3.07,1.09,0.31,0.01,0.07,0.00,0.00,0.30,3.00
57.00,3.28,1.09,0.33,0.03,0.28,0.00,0.00,0.30,3.00
58.00,3.52,1.09,0.35,0.05,0.52,0.00,0.00,0.30,3.00
59.00,3.51,1.09,0.35,0.05,0.51,0.00,0.00,0.30,3.00
60.00,3.39,1.09,0.34,0.04,0.39,0.00,0.00,0.30,3.00
61.00,3.20,1.09,0.32,0.02,0.20,0.00,0.00,0.30,3.00
62.00,3.07,1.09,0.31,0.01,0.07,0.00,0.00,0.30,3.00
63.00,2.90,1.06,0.29,0.00,0.00,0.00,0.00,0.29,2.90
64.00,2.76,1.01,0.28,0.00,0.00,0.00,0.00,0.28,2.76
65.00,2.74,1.00,0.27,0.00,0.00,0.00,0.00,0.27,2.74
66.00,2.81,1.02,0.28,0.00,0.00,0.00,0.00,0.28,2.81
67.00,2.95,1.08,0.30,0.00,0.00,0.00,0.00,0.30,2.95
68.00,3.05,1.09,0.30,0.00,0.05,0.00,0.00,0.30,3.00
69.00,3.10,1.09,0.31,0.01,0.10,0.00,0.00,0.30,3.00
70.00,3.13,1.09,0.31,0.01,0.13,0.00,0.00,0.30,3.00
71.00,3.07,1.09,0.31,0.01,0.07,0.00,0.00,0.30,3.00
72.00,2.95,1.07,0.29,0.00,0.00,0.00,0.00,0.29,2.95
73.00,2.70,0.98,0.27,0.00,0.00,0.00,0.00,0.27,2.70
74.00,2.65,0.96,0.26,0.00,0.00,0.00,0.00,0.26,2.65
75.00,2.63,0.96,0.26,0.00,0.00,0.00,0.00,0.26,2.63
76.00,2.66,0.97,0.27,0.00,0.00,0.00,0.00,0.27,2.66
77.00,2.70,0.98,0.27,0.00,0.00,0.00,0.00,0.27,2.70
78.00,2.84,1.03,0.28,0.00,0.00,0.00,0.00,0.28,2.84
79.00,3.06,1.09,0.31,0.01,0.06,0.00,0.00,0.30,3.00
80.00,3.20,1.09,0.32,0.02,0.20,0.00,0.00,0.30,3.00
81.00,3.15,1.09,0.32,0.02,0.15,0.00,0.00,0.30,3.00
82.00,3.01,1.09,0.30,0.00,0.01,0.00,0.00,0.30,3.00
83.00,2.88,1.05,0.29,0.00,0.00,0.00,0.00,0.29,2.88
84.00,2.77,1.01,0.28,0.00,0.00,0.00,0.00,0.28,2.77
85.00,2.68,0.98,0.27,0.00,0.00,0.00,0.00,0.27,2.68
86.00,2.65,0.96,0.27,0.00,0.00,0.00,0.00,0.27,2.65
87.00,2.61,0.95,0.26,0.00,0.00,0.00,0.00,0.26,2.61
88.00,2.58,0.94,0.26,0.00,0.00,0.00,0.00,0.26,2.58
89.00,2.58,0.94,0.26,0.00,0.00,0.00,0.00,0.26,2.58
90.00,2.69,0.98,0.27,0.00,0.00,0.00,0.00,0.27,2.69
91.00,2.79,1.02,0.28,0.00,0.00,0.00,0.00,0.28,2.79
92.00,2.94,1.07,0.29,0.00,0.00,0.00,0.00,0.29,2.94
93.00,2.93,1.07,0.29,0.00,0.00,0.00,0.00,0.29,2.93
94.00,2.97,1.08,0.30,0.00,0.00,0.00,0.00,0.30,2.97
95.00,2.89,1.05,0.29,0.00,0.00,0.00,0.00,0.29,2.89
96.00,2.79,1.01,0.28,0.00,0.00,0.00,0.00,0.28,2.79
97.00,3.03,1.09,0.30,0.00,0.03,0.00,0.00,0.30,3.00
98.00,2.98,1.08,0.30,0.00,0.00,0.00,0.00,0.30,2.98
99.00,2.95,1.08,0.30,0.00,0.00,0.00,0.00,0.30,2.95
100.00,3.00,1.09,0.30,0.00,0.00,0.00,0.00,0.30,3.00
101.00,3.03,1.09,0.30,0.00,0.03,0.00,0.00,0.30,3.00
102.00,3.17,1.09,0.32,0.02,0.17,0.00,0.00,0.30,3.00
103.00,3.40,1.09,0.34,0.04,0.40,0.00,0.00,0.30,3.00
104.00,3.54,1.09,0.35,0.05,0.54,0.00,0.00,0.30,3.00
105.00,3.49,1.09,0.35,0.05,0.49,0.00,0.00,0.30,3.00
106.00,3.34,1.09,0.33,0.03,0.34,0.00,0.00,0.30,3.00
107.00,3.20,1.09,0.32,0.02,0.20,0.00,0.00,0.30,3.00
108.00,3.08,1.09,0.31,0.01,0.08,0.00,0.00,0.30,3.00
109.00,2.98,1.09,0.30,0.00,0.00,0.00,0.00,0.30,2.98
110.00,2.94,1.07,0.29,0.00,0.00,0.00,0.00,0.29,2.94
111.00,2.90,1.06,0.29,0.00,0.00,0.00,0.00,0.29,2.90
112.00,2.87,1.05,0.29,0.00,0.00,0.00,0.00,0.29,2.87
113.00,2.87,1.05,0.29,0.00,0.00,0.00,0.00,0.29,2.87
114.00,2.98,1.09,0.30,0.00,0.00,0.00,0.00,0.30,2.98
115.00,3.10,1.09,0.31,0.01,0.10,0.00,0.00,0.30,3.00
116.00,3.26,1.09,0.33,0.03,0.26,0.00,0.00,0.30,3.00
117.00,3.26,1.09,0.33,0.03,0.26,0.00,0.00,0.30,3.00
118.00,3.30,1.09,0.33,0.03,0.30,0.00,0.00,0.30,3.00
119.00,3.22,1.09,0.32,0.02,0.22,0.00,0.00,0.30,3.00
120.00,3.11,1.09,0.31,0.01,0.11,0.00,0.00,0.30,3.00
121.00,3.03,1.09,0.30,0.00,0.03,0.00,0.00,0.30,3.00
122.00,2.98,1.08,0.30,0.00,0.00,0.00,0.00,0.30,2.98
123.00,2.95,1.08,0.30,0.00,0.00,0.00,0.00,0.30,2.95
124.00,3.00,1.09,0.30,0.00,0.00,0.00,0.00,0.30,3.00
125.00,3.03,1.09,0.30,0.00,0.03,0.00,0.00,0.30,3.00
126.00,3.17,1.09,0.32,0.02,0.17,0.00,0.00,0.30,3.00
127.00,3.40,1.09,0.34,0.04,0.40,0.00,0.00,0.30,3.00
128.00,3.54,1.09,0.35,0.05,0.54,0.00,0.00,0.30,3.00
129.00,3.49,1.09,0.35,0.05,0.49,0.00,0.00,0.30,3.00
130.00,3.34,1.09,0.33,0.03,0.34,0.00,0.00,0.30,3.00
131.00,3.20,1.09,0.32,0.02,0.20,0.00,0.00,0.30,3.00
132.00,3.08,1.09,0.31,0.01,0.08,0.00,0.00,0.30,3.00
133.00,2.98,1.09,0.30,0.00,0.00,0.00,0.00,0.30,2.98
134.00,2.94,1.07,0.29,0.00,0.00,0.00,0.00,0.29,2.94
135.00,2.90,1.06,0.29,0.00,0.00,0.00,0.00,0.29,2.90
136.00,2.87,1.05,0.29,0.00,0.00,0.00,0.00,0.29,2.87
137.00,2.87,1.05,0.29,0.00,0.00,0.00,0.00,0.29,2.87
138.00,2.98,1.09,0.30,0.00,0.00,0.00,0.00,0.30,2.98
139.00,3.10,1.09,0.31,0.01,0.10,0.00,0.00,0.30,3.00
140.00,3.26,1.09,0.33,0.03,0.26,0.00,0.00,0.30,3.00
141.00,3.26,1.09,0.33,0.03,0.26,0.00,0.00,0.30,3.00
142.00,3.30,1.09,0.33,0.03,0.30,0.00,0.00,0.30,3.00
143.00,3.22,1.09,0.32,0.02,0.22,0.00,0.00,0.30,3.00
144.00,3.11,1.09,0.31,0.01,0.11,0.00,0.00,0.30,3.00
145.00,2.86,1.04,0.29,0.00,0.00,0.00,0.00,0.29,2.86
146.00,2.81,1.02,0.28,0.00,0.00,0.00,0.00,0.28,2.81
147.00,2.79,1.02,0.28,0.00,0.00,0.00,0.00,0.28,2.79
148.00,2.83,1.03,0.28,0.00,0.00,0.00,0.00,0.28,2.83
149.00,2.86,1.04,0.29,0.00,0.00,0.00,0.00,0.29,2.86
150.00,3.00,1.09,0.30,0.00,0.00,0.00,0.00,0.30,3.00
151.00,3.23,1.09,0.32,0.02,0.23,0.00,0.00,0.30,3.00
152.00,3.37,1.09,0.34,0.04,0.37,0.00,0.00,0.30,3.00
153.00,3.32,1.09,0.33,0.03,0.32,0.00,0.00,0.30,3.00
154.00,3.18,1.09,0.32,0.02,0.18,0.00,0.00,0.30,3.00
155.00,3.03,1.09,0.30,0.00,0.03,0.00,0.00,0.30,3.00
156.00,2.92,1.06,0.29,0.00,0.00,0.00,0.00,0.29,2.92
157.00,2.83,1.03,0.28,0.00,0.00,0.00,0.00,0.28,2.83
158.00,2.79,1.02,0.28,0.00,0.00,0.00,0.00,0.28,2.79
159.00,2.75,1.00,0.28,0.00,0.00,0.00,0.00,0.28,2.75
160.00,2.72,0.99,0.27,0.00,0.00,0.00,0.00,0.27,2.72
161.00,2.72,0.99,0.27,0.00,0.00,0.00,0.00,0.27,2.72
162.00,2.84,1.03,0.28,0.00,0.00,0.00,0.00,0.28,2.84
163.00,2.95,1.07,0.29,0.00,0.00,0.00,0.00,0.29,2.95
164.00,3.10,1.09,0.31,0.01,0.10,0.00,0.00,0.30,3.00
165.00,3.09,1.09,0.31,0.01,0.09,0.00,0.00,0.30,3.00
166.00,3.14,1.09,0.31,0.01,0.14,0.00,0.00,0.30,3.00
167.00,3.05,1.09,0.31,0.01,0.05,0.00,0.00,0.30,3.00
168.00,2.95,1.07,0.29,0.00,0.00,0.00,0.00,0.29,2.95
169.00,2.70,0.98,0.27,0.00,0.00,0.00,0.00,0.27,2.70
170.00,2.65,0.96,0.26,0.00,0.00,0.00,0.00,0.26,2.65
171.00,2.63,0.96,0.26,0.00,0.00,0.00,0.00,0.26,2.63
172.00,2.66,0.97,0.27,0.00,0.00,0.00,0.00,0.27,2.66
173.00,2.70,0.98,0.27,0.00,0.00,0.00,0.00,0.27,2.70
174.00,2.84,1.03,0.28,0.00,0.00,0.00,0.00,0.28,2.84
175.00,3.06,1.09,0.31,0.01,0.06,0.00,0.00,0.30,3.00
176.00,3.20,1.09,0.32,0.02,0.20,0.00,0.00,0.30,3.00
177.00,3.15,1.09,0.32,0.02,0.15,0.00,0.00,0.30,3.00
178.00,3.01,1.09,0.30,0.00,0.01,0.00,0.00,0.30,3.00
179.00,2.88,1.05,0.29,0.00,0.00,0.00,0.00,0.29,2.88
180.00,2.77,1.01,0.28,0.00,0.00,0.00,0.00,0.28,2.77
181.00,2.68,0.98,0.27,0.00,0.00,0.00,0.00,0.27,2.68
182.00,2.65,0.96,0.27,0.00,0.00,0.00,0.00,0.27,2.65
183.00,2.61,0.95,0.26,0.00,0.00,0.00,0.00,0.26,2.61
184.00,2.58,0.94,0.26,0.00,0.00,0.00,0.00,0.26,2.58
185.00,2.58,0.94,0.26,0.00,0.00,0.00,0.00,0.26,2.58
186.00,2.69,0.98,0.27,0.00,0.00,0.00,0.00,0.27,2.69
187.00,2.79,1.02,0.28,0.00,0.00,0.00,0.00,0.28,2.79
188.00,2.94,1.07,0.29,0.00,0.00,0.00,0.00,0.29,2.94
189.00,2.93,1.07,0.29,0.00,0.00,0.00,0.00,0.29,2.93
190.00,2.97,1.08,0.30,0.00,0.00,0.00,0.00,0.30,2.97
191.00,2.89,1.05,0.29,0.00,0.00,0.00,0.00,0.29,2.89
192.00,2.79,1.01,0.28,0.00,0.00,0.00,0.00,0.28,2.79
193.00,2.92,1.06,0.29,0.00,0.00,0.00,0.00,0.29,2.92
194.00,2.85,1.04,0.28,0.00,0.00,0.00,0.00,0.28,2.85
195.00,2.82,1.03,0.28,0.00,0.00,0.00,0.00,0.28,2.82
196.00,2.83,1.03,0.28,0.00,0.00,0.00,0.00,0.28,2.83
197.00,2.84,1.03,0.28,0.00,0.00,0.00,0.00,0.28,2.84
198.00,2.87,1.04,0.29,0.00,0.00,0.00,0.00,0.29,2.87
199.00,2.92,1.06,0.29,0.00,0.00,0.00,0.00,0.29,2.92
200.00,3.07,1.09,0.31,0.01,0.07,0.00,0.00,0.30,3.00
201.00,3.27,1.09,0.33,0.03,0.27,0.00,0.00,0.30,3.00
202.00,3.43,1.09,0.34,0.04,0.43,0.00,0.00,0.30,3.00
203.00,3.36,1.09,0.34,0.04,0.36,0.00,0.00,0.30,3.00
204.00,3.17,1.09,0.32,0.02,0.17,0.00,0.00,0.30,3.00
205.00,3.07,1.09,0.31,0.01,0.07,0.00,0.00,0.30,3.00
206.00,3.07,1.09,0.31,0.01,0.07,0.00,0.00,0.30,3.00
207.00,3.03,1.09,0.30,0.00,0.03,0.00,0.00,0.30,3.00
208.00,3.03,1.09,0.30,0.00,0.03,0.00,0.00,0.30,3.00
209.00,3.12,1.09,0.31,0.01,0.12,0.00,0.00,0.30,3.00
210.00,3.26,1.09,0.33,0.03,0.26,0.00,0.00,0.30,3.00
211.00,3.34,1.09,0.33,0.03,0.34,0.00,0.00,0.30,3.00
212.00,3.31,1.09,0.33,0.03,0.31,0.00,0.00,0.30,3.00
213.00,3.19,1.09,0.32,0.02,0.19,0.00,0.00,0.30,3.00
214.00,3.06,1.09,0.31,0.01,0.06,0.00,0.00,0.30,3.00
215.00,2.96,1.08,0.30,0.00,0.00,0.00,0.00,0.30,2.96
216.00,2.90,1.06,0.29,0.00,0.00,0.00,0.00,0.29,2.90
217.00,3.08,1.09,0.31,0.01,0.08,0.00,0.00,0.30,3.00
218.00,3.05,1.09,0.31,0.01,0.05,0.00,0.00,0.30,3.00
219.00,3.02,1.09,0.30,0.00,0.02,0.00,0.00,0.30,3.00
220.00,3.02,1.09,0.30,0.00,0.02,0.00,0.00,0.30,3.00
221.00,3.01,1.09,0.30,0.00,0.01,0.00,0.00,0.30,3.00
222.00,3.01,1.09,0.30,0.00,0.01,0.00,0.00,0.30,3.00
223.00,3.07,1.09,0.31,0.01,0.07,0.00,0.00,0.30,3.00
224.00,3.24,1.09,0.32,0.02,0.24,0.00,0.00,0.30,3.00
225.00,3.45,1.09,0.34,0.04,0.45,0.00,0.00,0.30,3.00
226.00,3.68,1.09,0.37,0.07,0.68,0.00,0.00,0.30,3.00
227.00,3.67,1.09,0.37,0.07,0.67,0.00,0.00,0.30,3.00
228.00,3.55,1.09,0.35,0.05,0.55,0.00,0.00,0.30,3.00
229.00,3.35,1.09,0.33,0.03,0.35,0.00,0.00,0.30,3.00
230.00,3.22,1.09,0.32,0.02,0.22,0.00,0.00,0.30,3.00
231.00,3.05,1.09,0.30,0.00,0.05,0.00,0.00,0.30,3.00
232.00,2.91,1.06,0.29,0.00,0.00,0.00,0.00,0.29,2.91
233.00,2.88,1.05,0.29,0.00,0.00,0.00,0.00,0.29,2.88
234.00,2.96,1.08,0.30,0.00,0.00,0.00,0.00,0.30,2.96
235.00,3.11,1.09,0.31,0.01,0.11,0.00,0.00,0.30,3.00
236.00,3.21,1.09,0.32,0.02,0.21,0.00,0.00,0.30,3.00
237.00,3.26,1.09,0.33,0.03,0.26,0.00,0.00,0.30,3.00
238.00,3.30,1.09,0.33,0.03,0.30,0.00,0.00,0.30,3.00
239.00,3.24,1.09,0.32,0.02,0.24,0.00,0.00,0.30,3.00
240.00,3.11,1.09,0.31,0.01,0.11,0.00,0.00,0.30,3.00
241.00,3.03,1.09,0.30,0.00,0.03,0.00,0.00,0.30,3.00
242.00,2.98,1.08,0.30,0.00,0.00,0.00,0.00,0.30,2.98
243.00,2.95,1.08,0.30,0.00,0.00,0.00,0.00,0.30,2.95
244.00,3.00,1.09,0.30,0.00,0.00,0.00,0.00,0.30,3.00
245.00,3.03,1.09,0.30,0.00,0.03,0.00,0.00,0.30,3.00
246.00,3.17,1.09,0.32,0.02,0.17,0.00,0.00,0.30,3.00
247.00,3.40,1.09,0.34,0.04,0.40,0.00,0.00,0.30,3.00
248.00,3.54,1.09,0.35,0.05,0.54,0.00,0.00,0.30,3.00
249.00,3.49,1.09,0.35,0.05,0.49,0.00,0.00,0.30,3.00
250.00,3.34,1.09,0.33,0.03,0.34,0.00,0.00,0.30,3.00
251.00,3.20,1.09,0.32,0.02,0.20,0.00,0.00,0.30,3.00
252.00,3.08,1.09,0.31,0.01,0.08,0.00,0.00,0.30,3.00
253.00,2.98,1.09,0.30,0.00,0.00,0.00,0.00,0.30,2.98
254.00,2.94,1.07,0.29,0.00,0.00,0.00,0.00,0.29,2.94
255.00,2.90,1.06,0.29,0.00,0.00,0.00,0.00,0.29,2.90
256.00,2.87,1.05,0.29,0.00,0.00,0.00,0.00,0.29,2.87
257.00,2.87,1.05,0.29,0.00,0.00,0.00,0.00,0.29,2.87
258.00,2.98,1.09,0.30,0.00,0.00,0.00,0.00,0.30,2.98
259.00,3.10,1.09,0.31,0.01,0.10,0.00,0.00,0.30,3.00
260.00,3.26,1.09,0.33,0.03,0.26,0.00,0.00,0.30,3.00
261.00,3.26,1.09,0.33,0.03,0.26,0.00,0.00,0.30,3.00
262.00,3.30,1.09,0.33,0.03,0.30,0.00,0.00,0.30,3.00
263.00,3.22,1.09,0.32,0.02,0.22,0.00,0.00,0.30,3.00
264.00,3.11,1.09,0.31,0.01,0.11,0.00,0.00,0.30,3.00
265.00,2.86,1.04,0.29,0.00,0.00,0.00,0.00,0.29,2.86
266.00,2.81,1.02,0.28,0.00,0.00,0.00,0.00,0.28,2.81
267.00,2.79,1.02,0.28,0.00,0.00,0.00,0.00,0.28,2.79
268.00,2.83,1.03,0.28,0.00,0.00,0.00,0.00,0.28,2.83
269.00,2.86,1.04,0.29,0.00,0.00,0.00,0.00,0.29,2.86
270.00,3.00,1.09,0.30,0.00,0.00,0.00,0.00,0.30,3.00
271.00,3.23,1.09,0.32,0.02,0.23,0.00,0.00,0.30,3.00
272.00,3.37,1.09,0.34,0.04,0.37,0.00,0.00,0.30,3.00
273.00,3.32,1.09,0.33,0.03,0.32,0.00,0.00,0.30,3.00
274.00,3.18,1.09,0.32,0.02,0.18,0.00,0.00,0.30,3.00
275.00,3.03,1.09,0.30,0.00,0.03,0.00,0.00,0.30,3.00
276.00,2.92,1.06,0.29,0.00,0.00,0.00,0.00,0.29,2.92
277.00,2.83,1.03,0.28,0.00,0.00,0.00,0.00,0.28,2.83
278.00,2.79,1.02,0.28,0.00,0.00,0.00,0.00,0.28,2.79
279.00,2.75,1.00,0.28,0.00,0.00,0.00,0.00,0.28,2.75
280.00,2.72,0.99,0.27,0.00,0.00,0.00,0.00,0.27,2.72
281.00,2.72,0.99,0.27,0.00,0.00,0.00,0.00,0.27,2.72
282.00,2.84,1.03,0.28,0.00,0.00,0.00,0.00,0.28,2.84
283.00,2.95,1.07,0.29,0.00,0.00,0.00,0.00,0.29,2.95
284.00,3.10,1.09,0.31,0.01,0.10,0.00,0.00,0.30,3.00
285.00,3.09,1.09,0.31,0.01,0.09,0.00,0.00,0.30,3.00
286.00,3.14,1.09,0.31,0.01,0.14,0.00,0.00,0.30,3.00
287.00,3.05,1.09,0.31,0.01,0.05,0.00,0.00,0.30,3.00
288.00,2.95,1.07,0.29,0.00,0.00,0.00,0.00,0.29,2.95
289.00,2.70,0.98,0.27,0.00,0.00,0.00,0.00,0.27,2.70
290.00,2.65,0.96,0.26,0.00,0.00,0.00,0.00,0.26,2.65
291.00,2.63,0.96,0.26,0.00,0.00,0.00,0.00,0.26,2.63
292.00,2.66,0.97,0.27,0.00,0.00,0.00,0.00,0.27,2.66
293.00,2.70,0.98,0.27,0.00,0.00,0.00,0.00,0.27,2.70
294.00,2.84,1.03,0.28,0.00,0.00,0.00,0.00,0.28,2.84
295.00,3.06,1.09,0.31,0.01,0.06,0.00,0.00,0.30,3.00
296.00,3.20,1.09,0.32,0.02,0.20,0.00,0.00,0.30,3.00
297.00,3.15,1.09,0.32,0.02,0.15,0.00,0.00,0.30,3.00
298.00,3.01,1.09,0.30,0.00,0.01,0.00,0.00,0.30,3.00
299.00,2.88,1.05,0.29,0.00,0.00,0.00,0.00,0.29,2.88
300.00,2.77,1.01,0.28,0.00,0.00,0.00,0.00,0.28,2.77
301.00,2.68,0.98,0.27,0.00,0.00,0.00,0.00,0.27,2.68
302.00,2.65,0.96,0.27,0.00,0.00,0.00,0.00,0.27,2.65
303.00,2.61,0.95,0.26,0.00,0.00,0.00,0.00,0.26,2.61
304.00,2.58,0.94,0.26,0.00,0.00,0.00,0.00,0.26,2.58
305.00,2.58,0.94,0.26,0.00,0.00,0.00,0.00,0.26,2.58
306.00,2.69,0.98,0.27,0.00,0.00,0.00,0.00,0.27,2.69
307.00,2.79,1.02,0.28,0.00,0.00,0.00,0.00,0.28,2.79
308.00,2.94,1.07,0.29,0.00,0.00,0.00,0.00,0.29,2.94
309.00,2.93,1.07,0.29,0.00,0.00,0.00,0.00,0.29,2.93
310.00,2.97,1.08,0.30,0.00,0.00,0.00,0.00,0.30,2.97
311.00,2.89,1.05,0.29,0.00,0.00,0.00,0.00,0.29,2.89
312.00,2.79,1.01,0.28,0.00,0.00,0.00,0.00,0.28,2.79
313.00,2.86,1.04,0.29,0.00,0.00,0.00,0.00,0.29,2.86
314.00,2.81,1.02,0.28,0.00,0.00,0.00,0.00,0.28,2.81
315.00,2.79,1.02,0.28,0.00,0.00,0.00,0.00,0.28,2.79
316.00,2.83,1.03,0.28,0.00,0.00,0.00,0.00,0.28,2.83
317.00,2.86,1.04,0.29,0.00,0.00,0.00,0.00,0.29,2.86
318.00,3.00,1.09,0.30,0.00,0.00,0.00,0.00,0.30,3.00
319.00,3.23,1.09,0.32,0.02,0.23,0.00,0.00,0.30,3.00
320.00,3.37,1.09,0.34,0.04,0.37,0.00,0.00,0.30,3.00
321.00,3.32,1.09,0.33,0.03,0.32,0.00,0.00,0.30,3.00
322.00,3.18,1.09,0.32,0.02,0.18,0.00,0.00,0.30,3.00
323.00,3.03,1.09,0.30,0.00,0.03,0.00,0.00,0.30,3.00
324.00,2.92,1.06,0.29,0.00,0.00,0.00,0.00,0.29,2.92
325.00,2.83,1.03,0.28,0.00,0.00,0.00,0.00,0.28,2.83
326.00,2.79,1.02,0.28,0.00,0.00,0.00,0.00,0.28,2.79
327.00,2.75,1.00,0.28,0.00,0.00,0.00,0.00,0.28,2.75
328.00,2.72,0.99,0.27,0.00,0.00,0.00,0.00,0.27,2.72
329.00,2.72,0.99,0.27,0.00,0.00,0.00,0.00,0.27,2.72
330.00,2.84,1.03,0.28,0.00,0.00,0.00,0.00,0.28,2.84
331.00,2.95,1.07,0.29,0.00,0.00,0.00,0.00,0.29,2.95
332.00,3.10,1.09,0.31,0.01,0.10,0.00,0.00,0.30,3.00
333.00,3.09,1.09,0.31,0.01,0.09,0.00,0.00,0.30,3.00
334.00,3.14,1.09,0.31,0.01,0.14,0.00,0.00,0.30,3.00
335.00,3.05,1.09,0.31,0.01,0.05,0.00,0.00,0.30,3.00
336.00,2.95,1.07,0.29,0.00,0.00,0.00,0.00,0.29,2.95
337.00,2.40,0.87,0.24,0.00,0.00,0.00,0.00,0.24,2.40
338.00,2.34,0.85,0.23,0.00,0.00,0.00,0.00,0.23,2.34
339.00,2.32,0.85,0.23,0.00,0.00,0.00,0.00,0.23,2.32
340.00,2.36,0.86,0.24,0.00,0.00,0.00,0.00,0.24,2.36
341.00,2.39,0.87,0.24,0.00,0.00,0.00,0.00,0.24,2.39
342.00,2.53,0.92,0.25,0.00,0.00,0.00,0.00,0.25,2.53
343.00,2.75,1.00,0.28,0.00,0.00,0.00,0.00,0.28,2.75
344.00,2.89,1.05,0.29,0.00,0.00,0.00,0.00,0.29,2.89
345.00,2.85,1.04,0.28,0.00,0.00,0.00,0.00,0.28,2.85
346.00,2.71,0.98,0.27,0.00,0.00,0.00,0.00,0.27,2.71
347.00,2.57,0.94,0.26,0.00,0.00,0.00,0.00,0.26,2.57
