"source","total_heat_supply_per_source","total_heat_drain_per_source","total_heating_cost_per_source","n_heating_units","pay_rate","usage_cost"
"electricity",0.00,0.00,0.00,0.00,96.75,0.18
"mining",131353.50,0.00,23643.63,5.00,1935.82,8747.08
"airconditioning",0.00,119686.22,7181.17,7.00,104.93,387.35
"gas",0.00,0.00,0.00,0.00,768.56,0.08
"photovoltaics",0.00,0.00,0.00,0.00,20.79,0.00
