1,1.939
2,1.2
3,0.638
4,0.29
5,-0.126
6,-0.405
7,-0.32
8,-0.502
9,-0.484
10,-0.236
11,-0.455
12,-0.722
13,-0.691
14,-1.012
15,-1.221
16,-1.175
17,-0.352
18,1.607
19,3.188
20,4.991
21,6.08
22,6.058
23,5.543
24,4.295
25,3.47
26,2.797
27,1.973
28,1.221
29,0.601
30,0.111
31,-0.314
32,-0.558
33,-0.653
34,-0.547
35,-0.334
36,-0.104
37,0.252
38,0.553
39,0.81
40,0.857
41,1.026
42,2.733
43,4.158
44,5.117
45,5.484
46,5.443
47,4.844
48,4.282
49,3.991
50,3.957
51,4.096
52,4.232
53,4.349
54,4.591
55,4.907
56,5.224
57,5.496
58,5.704
59,5.851
60,5.925
61,6.019
62,6.125
63,6.242
64,6.298
65,6.414
66,6.748
67,7.39
68,7.951
69,8.403
70,8.734
71,8.796
72,8.511
73,8.077
74,7.749
75,7.59
76,7.586
77,7.65
78,7.637
79,7.515
80,7.401
81,7.412
82,7.373
83,7.128
84,6.857
85,6.633
86,6.518
87,6.484
88,6.436
89,6.584
90,7.228
91,7.882
92,8.481
93,8.765
94,8.695
95,8.411
96,7.687
97,6.559
98,6.247
99,5.922
100,5.776
101,6.091
102,6.174
103,5.829
104,5.487
105,5.525
106,5.723
107,5.837
108,5.923
109,5.968
110,5.942
111,5.877
112,5.647
113,5.461
114,5.764
115,7.644
116,8.944
117,9.147
118,9.606
119,8.871
120,7.496
121,6.431
122,5.895
123,5.235
124,4.91
125,5.299
126,5.434
127,5.139
128,4.928
129,5.553
130,5.83
131,5.398
132,4.507
133,4.043
134,3.776
135,3.491
136,3.202
137,3.177
138,3.885
139,4.569
140,4.995
141,5.144
142,5.053
143,4.861
144,4.147
145,2.995
146,2.603
147,2.567
148,2.319
149,1.92
150,1.583
151,1.317
152,1.251
153,1.264
154,1.328
155,1.462
156,1.613
157,1.671
158,1.608
159,1.37
160,1.008
161,1.228
162,1.868
163,2.618
164,3.458
165,4.111
166,4.465
167,4.505
168,3.921
169,3.075
170,2.087
171,0.976
172,0.071
173,-0.27
174,-0.026
175,-0.44
176,-0.098
177,0.29
178,0.577
179,1.097
180,1.662
181,2.253
182,2.72
183,2.767
184,2.27
185,2.257
186,2.544
187,2.88
188,3.193
189,3.531
190,3.876
191,4.074
192,3.975
193,3.51
194,3.18
195,2.974
196,2.91
197,3.196
198,3.327
199,3.47
200,3.859
201,4.19
202,4.273
203,4.152
204,3.89
205,3.808
206,3.969
207,3.959
208,3.728
209,3.705
210,4.711
211,5.704
212,6.609
213,7.098
214,7.093
215,7.036
216,6.836
217,6.473
218,6.447
219,6.717
220,6.874
221,6.866
222,6.815
223,6.845
224,6.967
225,7.034
226,7.061
227,6.984
228,6.811
229,6.673
230,6.533
231,6.379
232,6.166
233,6.28
234,7.315
235,8.31
236,9.121
237,9.32
238,9.323
239,9.271
240,8.35
241,6.999
242,6.767
243,6.488
244,6.149
245,5.98
246,5.735
247,5.488
248,5.474
249,5.253
250,5.35
251,5.446
252,5.566
253,5.529
254,5.541
255,5.352
256,5.257
257,5.703
258,6.831
259,8.105
260,9.482
261,10.551
262,10.805
263,10.167
264,8.763
