"source","total_heat_supply_per_source","total_heat_drain_per_source","total_heating_cost_per_source","n_heating_units","pay_rate","usage_cost"
"electricity",0.00,0.00,0.00,0.00,96.75,0.25
"mining",17041.68,0.00,4260.42,1.00,1935.82,1135.07
"airconditioning",5.24,19166.48,1597.64,3.00,104.93,62.12
"gas",0.00,0.00,0.00,0.00,768.56,0.08
"photovoltaics",0.00,0.00,0.00,52.00,20.79,0.00
