"source","total_heat_supply_per_source","total_heat_drain_per_source","total_heating_cost_per_source","n_heating_units","pay_rate","usage_cost"
"electricity",0.00,0.00,0.00,0.00,96.75,0.15
"mining",131353.99,0.00,19703.10,5.00,1935.82,8747.09
"airconditioning",0.00,119687.63,5984.38,7.00,104.93,387.34
"gas",0.00,0.00,0.00,0.00,768.56,0.08
"photovoltaics",0.00,0.00,0.00,0.00,20.79,0.00
