"source","total_heat_supply_per_source","total_heat_drain_per_source","total_heating_cost_per_source","n_heating_units","pay_rate","usage_cost"
"electricity",0.00,0.00,0.00,0.00,96.75,0.33
"mining",0.00,0.00,0.00,0.00,1935.82,0.33
"airconditioning",12717.28,1469.61,1560.56,2.00,104.93,46.02
"gas",0.00,0.00,0.00,0.00,768.56,0.13
"photovoltaics",0.00,0.00,0.00,0.00,20.79,0.00
