"source","total_heat_supply_per_source","total_heat_drain_per_source","total_heating_cost_per_source","n_heating_units","pay_rate","usage_cost"
"electricity",0.00,0.00,0.00,0.00,96.75,0.23
"mining",26099.47,0.00,6002.88,1.00,1935.82,1738.21
"airconditioning",972.43,15801.22,1285.98,2.00,104.93,54.35
"gas",0.00,0.00,0.00,0.00,768.56,0.08
"photovoltaics",0.00,0.00,0.00,0.00,20.79,0.00
